image_name,pull_count,star_count,last_updated
kapacitor,49598591,,2021-08-26T19:21:27.270708Z
kibana,119696246,,2021-08-26T21:21:09.843742Z
known,1135256,,2021-08-26T22:22:02.442733Z
kong,263560748,,2021-08-26T22:20:51.014081Z
lightstreamer,4258825,,2021-08-27T01:21:56.392632Z
logstash,171122812,,2021-08-27T02:20:53.132058Z
mageia,1416361,,2021-08-27T04:22:07.879268Z
mariadb,2250482532,,2021-08-27T05:19:19.973849Z
matomo,88559683,,2021-08-27T05:21:08.008494Z
maven,447940080,,2021-08-27T06:20:41.418427Z
mediaagent,,,2021-02-02T21:04:26.974891Z
mediawiki,37895567,,2021-08-27T07:21:38.599765Z
memcached,2820075023,,2021-08-27T07:19:18.571184Z
metricbeat,,,2021-08-03T13:27:50.296712Z
microservice-firewall,,,2019-01-02T19:52:44.832204Z
microsoft-aiforearth-base-py,173654,,2021-08-27T08:18:49.417565Z
microsoft-java-jre-headless,,,2021-08-27T08:33:18.452935Z
microsoft-windows-iotcore,918971,,2021-08-27T08:18:58.804394Z
microsoft-windows-iotcore-insider,26062,,2021-08-27T08:18:58.836349Z
microsoft-windowscamerateam-onnxconverter,3332,,2020-11-13T21:44:14.464613Z
mongo,2846993265,,2021-08-27T09:19:14.844412Z
mongo-express,147445839,,2021-08-27T09:20:59.520672Z
mono,38358431,,2021-08-27T09:21:36.119635Z
mysql,2752882079,,2021-08-27T11:19:19.786041Z
mysql-enterprise-server,,,2018-11-20T17:18:24.774896Z
nats,109208052,,2021-08-27T12:21:21.828461Z
nats-streaming,71742418,,2021-08-27T12:21:33.41588Z
neo4j,170296235,,2021-08-27T12:21:02.808217Z
netscaler-cpx-express,,,2017-10-26T02:09:16.501821Z
netscaler-cpx-express-rel-120-experimental,,,2019-09-16T22:54:45.435045Z
neurodebian,8956583,,2021-08-27T13:21:58.911762Z
neuvector,,,2019-06-19T20:44:10.223623Z
nextcloud,794321430,,2021-08-27T13:20:00.40729Z
nginx,4749733069,,2021-08-27T13:18:51.285157Z
node,2915100318,,2021-08-27T14:19:04.171716Z
notary,5599216,,2021-08-27T14:22:10.356264Z
nuxeo,4338898,,2021-08-27T15:22:02.320998Z
odoo,24151716,,2021-08-27T15:21:44.077172Z
open-liberty,9378532,,2021-08-27T16:21:54.797517Z
openjdk,1346956114,,2021-08-27T16:19:25.885511Z
openmaptiles-openstreetmap-maps,,,2018-04-05T02:04:53.640464Z
opensuse,9409280,,2021-08-27T16:21:54.587639Z
ops-bridge-agent,,,2021-02-02T21:06:10.157093Z
oracle-coherence-12c,,,2020-02-26T21:14:48.158389Z
oracle-database-enterprise-edition,,,2017-09-18T23:13:01.432529Z
oracle-fmw-infrastructure,,,2020-02-03T21:08:59.428556Z
oracle-instant-client,,,2017-06-02T18:32:36.043257Z
oracle-serverjre-8,,,2020-01-23T20:24:28.312732Z
oracle-weblogic-server-12c,,,2020-01-29T00:07:54.003713Z
oraclelinux,24494485,,2021-08-27T17:21:39.1562Z
orientdb,13100081,,2021-08-27T17:21:49.206343Z
owncloud,53642220,,2021-08-27T17:21:25.618618Z
packetbeat,,,2021-08-03T13:27:18.236955Z
percona,99084571,,2021-08-27T19:21:05.04781Z
percona-server,,,2017-05-11T18:58:13.358089Z
perl,168437903,,2021-08-27T19:20:47.346332Z
photon,11391965,,2021-08-27T19:21:44.556398Z
php,780447449,,2021-08-27T19:20:01.212695Z
php-zendserver,3623878,,2021-08-27T19:21:52.083062Z
piwik,19083278,,2021-08-27T20:21:44.209598Z
plone,5360995,,2021-08-27T20:21:56.151744Z
portworx-px-developer,,,2018-10-25T18:17:56.672834Z
postgres,3417549923,,2021-08-27T21:18:59.589184Z
puppet-agent-ubuntu,,,2017-05-11T18:59:50.821925Z
px-enterprise,,,2019-08-22T18:59:38.781422Z
pypy,31667285,,2021-08-27T22:21:40.709198Z
python,4035506458,,2021-08-27T22:18:53.78554Z
r-base,6227540,,2021-08-27T23:21:48.736518Z
rabbitmq,1649470011,,2021-08-27T23:19:21.99909Z
rails,8632027,,2021-08-27T23:21:47.304144Z
rakudo-star,2182634,,2021-08-28T00:22:05.158787Z
rapidoid,2563431,,2021-08-28T00:22:04.291005Z
redis,3415290934,,2021-08-28T01:19:07.551238Z
redmine,54156721,,2021-08-28T01:21:33.142194Z
registry,1420318000,,2021-08-28T01:19:32.933009Z
rethinkdb,66769955,,2021-08-28T01:21:27.707859Z
rocket-chat,67086736,,2021-08-28T02:21:47.346224Z
rocketchat,,,2019-11-13T14:08:26.093456Z
ros,17244577,,2021-08-28T03:21:44.872002Z
ruby,598201140,,2021-08-28T03:20:29.50444Z
rust,35969993,,2021-08-28T04:21:37.852037Z
sap-hana-express-edition,,,2021-07-22T10:41:55.287391Z
sap-hana-express-edition-incl-application-services,,,2021-07-22T10:43:05.407498Z
scratch,268572,,2021-08-28T06:22:12.664073Z
sematext-agent-monitoring-and-logging,,,2020-10-26T11:17:23.831267Z
silverpeas,1366221,,2021-08-28T08:22:01.898925Z
site24x7-linux-docker-agent,,,2021-07-15T15:48:55.105458Z
sitescope,,,2019-03-18T16:53:48.477574Z
sl,512366,,2021-08-28T09:22:00.935077Z
softwareag-adabas-ce,,,2021-04-19T09:45:03.042703Z
softwareag-apama-builder,,,2021-08-26T14:57:14.154919Z
softwareag-apigateway,,,2021-06-14T22:32:31.02346Z
softwareag-apiportal,,,2021-04-19T10:13:36.746301Z
softwareag-arcm,,,2021-04-19T10:21:28.804362Z
softwareag-aris-connect,,,2021-04-19T10:36:26.013951Z
softwareag-commandcentral,,,2021-06-28T15:18:01.862702Z
softwareag-microgateway-trial,,,2021-06-14T22:33:05.126936Z
softwareag-natural-ce,,,2021-04-19T09:50:43.057896Z
softwareag-terracotta-server-oss,,,2020-09-07T09:38:08.763147Z
softwareag-terracottadb,,,2021-08-27T00:34:24.01426Z
softwareag-webmethods-microservicesruntime,,,2021-04-19T10:13:03.940046Z
solr,117576799,,2021-08-28T10:21:04.058233Z
sonarqube,614985971,,2021-08-28T10:20:27.791479Z
sourcemage,596945,,2021-08-28T10:22:00.646882Z
spiped,2703023,,2021-08-28T11:21:53.802565Z
storageos-node,,,2021-07-20T15:50:45.356878Z
storm,7177665,,2021-08-28T12:22:00.975832Z
swarm,78565712,,2021-08-28T13:21:23.102648Z
swift,16047410,,2021-08-28T13:21:55.658441Z
swipl,2683767,,2021-08-28T13:22:10.1919Z
sysdig-open-source-visibility-tool,,,2018-04-23T23:58:37.539098Z
teamspeak,114829085,,2021-08-28T15:21:12.073415Z
telegraf,458191175,,2021-08-28T15:20:38.094044Z
templarbit,,,2018-09-11T00:16:54.099976Z
testarchitect,,,2017-10-12T16:42:46.096878Z
thrift,2276760,,2021-08-28T16:21:56.680752Z
tomcat,422713453,,2021-08-28T17:20:32.381509Z
tomee,14900470,,2021-08-28T17:21:47.370384Z
traefik,2655425483,,2021-08-28T18:19:19.435806Z
ubuntu,4618420380,,2021-08-28T19:18:53.150276Z
ubuntu-debootstrap,8811690,,2021-08-28T19:21:55.743534Z
ubuntu-upstart,1604329,,2021-08-28T19:22:04.881313Z
vault,364631457,,2021-08-28T20:20:42.43483Z
veritas-netbackup-client,,,2021-07-06T17:12:09.278233Z
weave-cloud-agent,,,2017-05-24T16:41:56.768014Z
websphere-liberty,20204468,,2021-08-28T23:21:41.731402Z
wordpress,955728783,,2021-08-29T00:19:49.153228Z
xwiki,26136165,,2021-08-29T01:21:43.87521Z
yourls,15833616,,2021-08-29T02:21:49.229291Z
znc,26476170,,2021-08-29T04:21:35.549945Z
zookeeper,152404844,,2021-08-29T04:20:51.125649Z
adminer,293206999,,2021-08-23T06:20:44.195677Z
aerospike,,,2021-06-09T04:08:59.134723Z
alpine,6014261214,,2021-08-23T10:18:50.861569Z
alt,452275,,2021-08-23T10:22:36.217245Z
amazonlinux,353292810,,2021-08-23T11:20:42.655554Z
anaconda,,,2017-05-11T18:58:27.71726Z
apama-correlator,,,2021-06-25T16:13:14.371669Z
apm-server,,,2021-08-03T13:26:12.81436Z
appbaseio,,,2017-11-28T21:02:25.74437Z
appdynamics,,,2019-12-16T18:53:00.81417Z
arangodb,25862311,,2021-08-23T14:21:40.683675Z
auditbeat,,,2021-08-03T13:25:37.748786Z
avi-vantage-platform,,,2018-11-30T20:56:56.586901Z
backdrop,6308413,,2021-08-23T17:21:55.533391Z
bash,235865952,,2021-08-23T18:20:52.17236Z
blackfire,,,2017-05-10T22:45:21.888977Z
bleemeo,,,2020-12-29T21:52:21.899025Z
blobcity-db,,,2019-08-17T13:25:11.076209Z
bonita,5789794,,2021-08-23T22:22:04.020567Z
buildpack-deps,172005895,,2021-08-24T00:21:05.755697Z
busybox,4581011716,,2021-08-24T00:18:52.913774Z
cassandra,147411132,,2021-08-24T01:21:05.404722Z
celery,3138287,,2021-08-24T02:22:00.578006Z
centos,942514927,,2021-08-24T02:19:54.72246Z
chronograf,142277326,,2021-08-24T04:21:04.232532Z
cirros,5693689,,2021-08-24T04:22:02.897479Z
clearlinux,6556041,,2021-08-24T05:21:58.863002Z
clefos,493155,,2021-08-24T05:22:08.541394Z
clojure,22951637,,2021-08-24T05:21:44.465495Z
composer,55015777,,2021-08-24T06:21:36.361657Z
consul,874173798,,2021-08-24T07:19:55.075389Z
convertigo,3671052,,2021-08-24T07:22:10.325664Z
coscale-agent,,,2018-05-29T12:45:21.681154Z
couchdb,149638380,,2021-08-24T07:21:01.228143Z
crate,15780176,,2021-08-24T08:21:51.466203Z
crux,784149,,2021-08-24T08:22:07.045788Z
data-server-manager-developer-c-edition,,,2018-03-16T19:33:34.444166Z
data-studio,,,2018-04-25T18:18:08.204286Z
datadog-agent,,,2019-06-05T17:16:20.411584Z
debian,726039244,,2021-08-24T11:20:30.458723Z
discourse,,,2017-05-11T18:58:30.142775Z
django,19724519,,2021-08-24T14:21:59.296066Z
dockbix-zabbix-agent,,,2017-05-11T18:59:53.476076Z
docker,1816791696,,2021-08-24T15:19:21.332808Z
docker-dev,2511693,,2021-08-24T15:22:16.623105Z
docker-docs,,,2017-05-11T19:01:11.661019Z
drupal,123160360,,2021-08-24T17:20:59.829326Z
dynatrace,,,2021-08-23T06:19:35.460865Z
eclipse-mosquitto,483137176,,2021-08-24T18:20:33.002151Z
eggdrop,2557459,,2021-08-24T19:21:58.439289Z
elasticsearch,594406873,,2021-08-24T20:20:36.75853Z
elixir,35396663,,2021-08-24T20:21:34.753502Z
erlang,41979030,,2021-08-24T21:21:27.844998Z
euleros,637422,,2021-08-24T22:21:59.844022Z
fedora,88290819,,2021-08-25T00:21:18.754681Z
filebeat,,,2021-08-03T13:26:40.623528Z
flink,72707945,,2021-08-25T01:21:12.085651Z
fluid-bpm,,,2021-04-25T13:37:07.10249Z
fsharp,2700082,,2021-08-25T02:21:57.841238Z
fullarmor-hapi-file-share-mount,,,2017-05-11T18:58:44.850604Z
galacticfog,,,2018-05-09T20:39:40.159287Z
gazebo,4007198,,2021-08-25T03:22:36.416665Z
gcc,17566313,,2021-08-25T03:22:22.737099Z
geonetwork,4208322,,2021-08-25T04:21:54.922746Z
ghost,280696464,,2021-08-25T04:20:43.791859Z
gitlab-community-edition,,,2020-02-19T18:09:08.143899Z
gitlab-enterprise-edition,,,2020-02-19T18:10:09.448994Z
glassfish,1212894,,2021-08-25T05:21:57.31983Z
golang,1315051533,,2021-08-25T05:19:39.578166Z
gradle,144240631,,2021-08-25T06:20:54.648735Z
groovy,64621169,,2021-08-25T06:21:21.474533Z
haproxy,708627792,,2021-08-25T08:20:32.011166Z
haskell,6044661,,2021-08-25T08:22:05.626809Z
haxe,20527755,,2021-08-25T08:21:48.255404Z
heartbeat,,,2021-08-03T13:27:12.159782Z
hello-seattle,2488130,,2021-08-25T09:22:29.376176Z
hello-world,1558995441,,2021-08-25T09:19:33.847414Z
hipache,404157,,2021-08-25T09:22:43.134091Z
hola-mundo,1377444,,2021-08-25T10:22:09.624752Z
hpe-nimble-kube-storage-controller,,,2019-09-20T15:56:23.841188Z
httpd,3032675914,,2021-08-25T10:19:04.425432Z
hylang,15827307,,2021-08-25T11:21:51.136339Z
ibm-cloud-automation-manager,,,2019-11-27T17:00:49.448582Z
ibm-db2-warehouse-client-container,,,2020-03-31T18:17:20.300527Z
ibm-db2-warehouse-dev,,,2020-03-31T19:24:30.304421Z
ibm-db2-warehouse-ee,,,2020-03-31T19:24:27.260734Z
ibm-db2-warehouse-sample-container,,,2019-09-10T13:30:32.331874Z
ibm-netcool-probe-email,,,2018-11-30T08:31:46.897678Z
ibm-security-guardium-external-stap,,,2021-05-14T15:23:52.010579Z
ibmjava,11525152,,2021-08-25T11:21:55.329297Z
influxdata-influxdb,,,2017-05-11T19:00:27.164672Z
influxdb,862216159,,2021-08-25T13:20:00.168893Z
instana-dynamic-apm,,,2017-11-21T19:08:36.382036Z
iojs,16959819,,2021-08-25T14:22:00.357435Z
irssi,7389028,,2021-08-25T14:22:09.911246Z
java,132033155,,2021-08-25T16:21:01.349818Z
jenkins,131019163,,2021-08-25T17:21:23.751919Z
jetty,31601787,,2021-08-25T18:21:46.266344Z
joomla,72276131,,2021-08-25T21:21:11.558823Z
jruby,44897903,,2021-08-25T22:21:23.392569Z
julia,10040140,,2021-08-25T22:21:47.114689Z
kaazing-enterprise-gateway,,,2018-09-06T16:49:05.687627Z
kaazing-gateway,1759747,,2021-08-25T23:22:04.518039Z
